Field Name,TypeScript Type,Database Type,Primary Key,Nullable,Unique,Relation,Default Value,Decorators
id,string,text,Yes,No,No,No,,@PrimaryGeneratedColumn('uuid')
name,string,),No,No,No,No,,@Column()
flowData,string,{ type:,No,No,No,No,,@Column({ type: 'text' })
deployed,boolean,{ nullable: true }),No,Yes,No,No,,@Column({ nullable: true })
isPublic,boolean,{ nullable: true }),No,Yes,No,No,,@Column({ nullable: true })
apikeyid,string,{ nullable: true }),No,Yes,No,No,,@Column({ nullable: true })
chatbotConfig,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
apiConfig,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
analytic,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
speechToText,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
followUpPrompts,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
category,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
type,ChatflowType,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
createdDate,Date,timestamp,No,No,No,No,CURRENT_TIMESTAMP,@Column({ type: 'timestamp' })     @CreateDateColumn()
updatedDate,Date,timestamp,No,No,No,No,CURRENT_TIMESTAMP ON UPDATE,@Column({ type: 'timestamp' })     @UpdateDateColumn()
workspaceId,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
