Field Name,TypeScript Type,Database Type,Primary Key,Nullable,Unique,Relation,Default Value,Decorators
id,string,text,Yes,No,No,No,,@PrimaryGeneratedColumn('uuid')
executionData,string,{ type:,No,No,No,No,,@Column({ type: 'text' })
state,ExecutionState,),No,No,No,No,,@Column()
agentflowId,string,{ type:,No,No,No,No,,@Column({ type: 'uuid' })
sessionId,string,{ type:,No,No,No,No,,@Column({ type: 'varchar' })
action,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
isPublic,boolean,{ nullable: true }),No,Yes,No,No,,@Column({ nullable: true })
createdDate,Date,timestamp,No,No,No,No,CURRENT_TIMESTAMP,@Column({ type: 'timestamp' })     @CreateDateColumn()
updatedDate,Date,timestamp,No,No,No,No,CURRENT_TIMESTAMP ON UPDATE,@Column({ type: 'timestamp' })     @UpdateDateColumn()
stoppedDate,Date,),No,No,No,No,,@Column()
agentflow,ChatFlow,text,No,No,No,Yes,,@ManyToOne(() => ChatFlow)     @JoinColumn({ name: 'agentflowId' })
workspaceId,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
totalCost,number,{ nullable: true,No,Yes,No,No,0 ,"@Column({ nullable: true, type: 'decimal', precision: 10, scale: 6, default: 0 })"
inputCost,number,{ nullable: true,No,Yes,No,No,0 ,"@Column({ nullable: true, type: 'decimal', precision: 10, scale: 6, default: 0 })"
outputCost,number,{ nullable: true,No,Yes,No,No,0 ,"@Column({ nullable: true, type: 'decimal', precision: 10, scale: 6, default: 0 })"
totalTokens,number,{ nullable: true,No,Yes,No,No,0 ,"@Column({ nullable: true, type: 'int', default: 0 })"
inputTokens,number,{ nullable: true,No,Yes,No,No,0 ,"@Column({ nullable: true, type: 'int', default: 0 })"
outputTokens,number,{ nullable: true,No,Yes,No,No,0 ,"@Column({ nullable: true, type: 'int', default: 0 })"
