Field Name,TypeScript Type,Database Type,Primary Key,Nullable,Unique,Relation,Default Value,Decorators
id,string,text,Yes,No,No,No,,@PrimaryGeneratedColumn('uuid')
name,string,),No,No,No,No,,@Column()
cronExpression,string,),No,No,No,No,,@Column()
description,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
isActive,boolean,{ nullable: true }),No,Yes,No,No,,@Column({ nullable: true })
bullmqJobId,string,{ nullable: true }),No,Yes,No,No,,@Column({ nullable: true })
workspaceId,string,{ nullable: true,No,Yes,No,No,,"@Column({ nullable: true, type: 'text' })"
agentflowId,string,),No,No,No,No,,@Column()
createdDate,Date,timestamp,No,No,No,No,CURRENT_TIMESTAMP,@Column({ type: 'timestamp' })     @CreateDateColumn()
updatedDate,Date,timestamp,No,No,No,No,CURRENT_TIMESTAMP ON UPDATE,@Column({ type: 'timestamp' })     @UpdateDateColumn()
