LiteLLM Table,LiteLLM Columns,LiteLLM Primary Key,Daisy Entity,Daisy Columns,Daisy Primary Key
LiteLLM_AuditLog,9,id,ApiKey,5,None
LiteLLM_BudgetTable,18,budget_id,Assistant,8,id
LiteLLM_Config,2,param_name,ChatFlow,16,id
LiteLLM_CredentialsTable,8,credential_id,ChatMessage,20,id
LiteLLM_CronJob,5,cronjob_id,ChatMessageFeedback,7,id
LiteLLM_DailyTagSpend,18,id,Credential,7,id
LiteLLM_DailyTeamSpend,18,id,CustomTemplate,11,id
LiteLLM_DailyUserSpend,18,id,Dataset,6,id
LiteLLM_EndUserTable,8,user_id,DatasetRow,6,id
LiteLLM_ErrorLogs,8,request_id,DocumentStore,12,id
LiteLLM_GuardrailsTable,6,guardrail_id,DocumentStoreFileChunk,6,id
LiteLLM_HealthCheckTable,13,health_check_id,Evaluation,12,id
LiteLLM_InvitationLink,12,id,EvaluationRun,10,id
LiteLLM_MCPServerTable,13,server_id,Evaluator,7,id
LiteLLM_ManagedFileTable,9,id,Execution,18,id
LiteLLM_ManagedObjectTable,10,id,Lead,7,id
LiteLLM_ManagedVectorStoresTable,9,vector_store_id,PhoneNumber,5,id
LiteLLM_ModelTable,7,id,ScheduledTask,10,id
LiteLLM_ObjectPermissionTable,8,object_permission_id,Tool,10,id
LiteLLM_OrganizationMembership,10,None,UpsertHistory,5,id
LiteLLM_OrganizationTable,4,organization_id,Variable,7,id
LiteLLM_PromptTable,6,id,,,
LiteLLM_ProxyModelTable,8,model_id,,,
LiteLLM_SpendLogs,17,request_id,,,
LiteLLM_TeamMembership,5,None,,,
LiteLLM_TeamTable,7,team_id,,,
LiteLLM_UserNotifications,5,request_id,,,
LiteLLM_UserTable,14,user_id,,,
LiteLLM_VerificationToken,8,token,,,
