Field Name,Type,Required,Array,Primary Key,Unique,Default Value,Raw Definition
health_check_id,String,Yes,No,Yes,No,uuid(,health_check_id String @id @default(uuid())
model_name,String,Yes,No,No,No,,model_name String
model_id,String,No,No,No,No,,model_id String?
status,String,Yes,No,No,No,,status String
healthy_count,Int,Yes,No,No,No,0,healthy_count Int @default(0)
unhealthy_count,Int,Yes,No,No,No,0,unhealthy_count Int @default(0)
error_message,String,No,No,No,No,,error_message String?
response_time_ms,Float,No,No,No,No,,response_time_ms Float?
details,Json,No,No,No,No,,details Json?
checked_by,String,No,No,No,No,,checked_by String?
checked_at,DateTime,Yes,No,No,No,now(,checked_at DateTime @default(now())
created_at,DateTime,Yes,No,No,No,now(,created_at DateTime @default(now())
updated_at,DateTime,Yes,No,No,No,,updated_at DateTime @updatedAt
